CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Game 1: Spot It,,"find and tap a specific letter even when it's hidden among different shapes or ""distractor"" letters.",Game 1: Tap all the letters -> capital and small letters; Interface can be clouds on the sky (See ref image) or lighting the correct letter candle or something simpler as given in the ref image. ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,
Game 2: Trace It,,produce the correct strokes to write uppercase and lowercase letters accurately.,"Game 2: Tracing letters - both capital and small letters.
And eventually tracing 2 and 3 letter words. ",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,
Level 2  (Grade 3 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,,,,,,,
Week 1 Session 1 ,,,,,,,,,,,,,,,,,
Introduction to the Focus words + Rhyme Time,,"name core objects from everyday themes (Family, Emotions, etc.) using visual and audio cues.",The focus vocab of that week is introduced through a green screen song,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop,,Identify picture that match a specific focus word.,Game 1: Existing drag and drop - But we need to improve the audio options (use actual audio icons or something closer instead of coloured buttons we have now),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Crossword,,Identify the words from the jumble of letters (top to bottom or left to write) ,Game 2: Find the Word - Crossword,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 3: Trace It,,associate visual forms with vocabulary words while developing fine motor control (pre-writing skills).,Game 3: Trace and write the word,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,
Animated Story Time,,follow a short story sequence and understand the main idea through combined audio and animation.,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and drop,,"remember and identify key details from a story to answer questions during interactive ""pause points.""","Pause every 45s to 1 minute.  Question pops-up.  Existing drag and drop - Question at the top, 4 options at the bottom. ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Letter Sound Correspondance,,"Hear a group of words and identify the common sound they all share
link a specific sound to its written letter in both capital and small forms","Letter sounds ->  introduce pictures and names of objects starting or ending with the same blends -> CVC, CCVC, CVCC, silent e",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,,
Game 1: Drag and Drop (to fill in the blanks),,,"Game 1: Identity words with the same starting/ending sound - possible game interfaces - 
Drag and drop the correct blend into the blank -> Ref provided. After the answer is placed in the blank, there should be a submit button. Correct or wrong answer will be revealed after the button is clicked. ",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Fill The Bottle,,Sort the words based on the correct starting/ending sounds.  ,"Game 2: Sort words: fill the bottle

Interface can be: Two jars -> students sort the word based on the blend it has. Example: drum, drag, drill (into t he dr jar), brick, brown, bright (into the br jar)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,
Game 3: Trace It,,produce the correct strokes to form the words learnt that session. ,Game 3: Tracing the blend along with the word,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,
Week 1 Session 2,,,,,,,,,,,,,,,,,
Recap on the focus words - a picture card slideshow. Interactive with 5 second pause. ,,"recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",A picture card slideshow. Interactive with 5 second pause. ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop,,Identify picture that match a specific focus word.,Game 1: Existing Drag and drop -> audio of the picture mapped to the picture itself. (this can be one audio with 1 answer or 1 audio with multiple answers),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
